Municipio,Classificacao,Sexo,StatusNotificacao,Quantidade,DataEncerramento_Nula,DataObito_Nula
AFONSO CLAUDIO,Confirmados,F,Em Aberto,2,2,2
AFONSO CLAUDIO,Confirmados,F,Encerrado,5126,0,5086
AFONSO CLAUDIO,Confirmados,I,Encerrado,1,0,1
AFONSO CLAUDIO,Confirmados,M,Em Aberto,1,1,1
AFONSO CLAUDIO,Confirmados,M,Encerrado,3846,0,3789
AFONSO CLAUDIO,Descartados,F,Em Aberto,10,10,10
AFONSO CLAUDIO,Descartados,F,Encerrado,12340,0,12301
AFONSO CLAUDIO,Descartados,I,Encerrado,2,0,2
AFONSO CLAUDIO,Descartados,M,Em Aberto,4,4,4
AFONSO CLAUDIO,Descartados,M,Encerrado,8607,0,8569
AFONSO CLAUDIO,Suspeito,F,Em Aberto,14,14,14
AFONSO CLAUDIO,Suspeito,F,Encerrado,189,0,189
AFONSO CLAUDIO,Suspeito,M,Em Aberto,6,6,6
AFONSO CLAUDIO,Suspeito,M,Encerrado,185,0,185
AFONSO CLAUDIO,Síndrome Gripal não Especificada,F,Encerrado,147,0,147
AFONSO CLAUDIO,Síndrome Gripal não Especificada,M,Encerrado,96,0,95
AGUA DOCE DO NORTE,Confirmados,F,Em Aberto,78,78,78
AGUA DOCE DO NORTE,Confirmados,F,Encerrado,1651,0,1622
AGUA DOCE DO NORTE,Confirmados,I,Encerrado,1,0,1
AGUA DOCE DO NORTE,Confirmados,M,Em Aberto,51,51,51
AGUA DOCE DO NORTE,Confirmados,M,Encerrado,1297,0,1270
AGUA DOCE DO NORTE,Descartados,F,Em Aberto,22,22,22
AGUA DOCE DO NORTE,Descartados,F,Encerrado,3471,0,3455
AGUA DOCE DO NORTE,Descartados,M,Em Aberto,17,17,17
AGUA DOCE DO NORTE,Descartados,M,Encerrado,2633,0,2623
AGUA DOCE DO NORTE,Suspeito,F,Em Aberto,63,63,62
AGUA DOCE DO NORTE,Suspeito,F,Encerrado,394,0,392
AGUA DOCE DO NORTE,Suspeito,M,Em Aberto,43,43,43
AGUA DOCE DO NORTE,Suspeito,M,Encerrado,315,0,314
AGUA DOCE DO NORTE,Síndrome Gripal não Especificada,F,Em Aberto,1,1,1
AGUA DOCE DO NORTE,Síndrome Gripal não Especificada,F,Encerrado,34,0,34
AGUA DOCE DO NORTE,Síndrome Gripal não Especificada,M,Encerrado,13,0,13
AGUIA BRANCA,Confirmados,F,Encerrado,2361,0,2332
AGUIA BRANCA,Confirmados,I,Encerrado,1,0,1
AGUIA BRANCA,Confirmados,M,Em Aberto,1,1,1
AGUIA BRANCA,Confirmados,M,Encerrado,1964,0,1924
AGUIA BRANCA,Descartados,F,Encerrado,3913,0,3908
AGUIA BRANCA,Descartados,M,Em Aberto,1,1,1
AGUIA BRANCA,Descartados,M,Encerrado,2948,0,2939
AGUIA BRANCA,Suspeito,F,Em Aberto,5,5,5
AGUIA BRANCA,Suspeito,F,Encerrado,30,0,29
AGUIA BRANCA,Suspeito,M,Em Aberto,5,5,5
AGUIA BRANCA,Suspeito,M,Encerrado,40,0,40
AGUIA BRANCA,Síndrome Gripal não Especificada,F,Encerrado,37,0,37
AGUIA BRANCA,Síndrome Gripal não Especificada,M,Encerrado,32,0,32
ALEGRE,Confirmados,F,Em Aberto,8,8,8
ALEGRE,Confirmados,F,Encerrado,5844,0,5789
ALEGRE,Confirmados,M,Em Aberto,4,4,4
ALEGRE,Confirmados,M,Encerrado,4137,0,4075
ALEGRE,Descartados,F,Em Aberto,30,30,30
ALEGRE,Descartados,F,Encerrado,14374,0,14352
ALEGRE,Descartados,I,Encerrado,2,0,2
ALEGRE,Descartados,M,Em Aberto,30,30,30
ALEGRE,Descartados,M,Encerrado,9858,0,9839
ALEGRE,Suspeito,F,Em Aberto,4,4,4
ALEGRE,Suspeito,M,Em Aberto,3,3,3
ALEGRE,Síndrome Gripal não Especificada,F,Encerrado,11,0,11
ALEGRE,Síndrome Gripal não Especificada,M,Encerrado,12,0,12
ALFREDO CHAVES,Confirmados,F,Em Aberto,7,7,7
ALFREDO CHAVES,Confirmados,F,Encerrado,3434,0,3411
ALFREDO CHAVES,Confirmados,I,Encerrado,1,0,1
ALFREDO CHAVES,Confirmados,M,Em Aberto,7,7,7
ALFREDO CHAVES,Confirmados,M,Encerrado,2564,0,2535
ALFREDO CHAVES,Descartados,F,Em Aberto,14,14,14
ALFREDO CHAVES,Descartados,F,Encerrado,6369,0,6356
ALFREDO CHAVES,Descartados,M,Em Aberto,11,11,11
ALFREDO CHAVES,Descartados,M,Encerrado,4496,0,4482
ALFREDO CHAVES,Suspeito,F,Em Aberto,37,37,37
ALFREDO CHAVES,Suspeito,F,Encerrado,120,0,120
ALFREDO CHAVES,Suspeito,M,Em Aberto,24,24,24
ALFREDO CHAVES,Suspeito,M,Encerrado,120,0,120
ALFREDO CHAVES,Síndrome Gripal não Especificada,F,Encerrado,148,0,147
ALFREDO CHAVES,Síndrome Gripal não Especificada,M,Encerrado,116,0,116
ALTO RIO NOVO,Confirmados,F,Em Aberto,8,8,8
ALTO RIO NOVO,Confirmados,F,Encerrado,1013,0,1000
ALTO RIO NOVO,Confirmados,M,Em Aberto,4,4,4
ALTO RIO NOVO,Confirmados,M,Encerrado,764,0,747
ALTO RIO NOVO,Descartados,F,Em Aberto,7,7,7
ALTO RIO NOVO,Descartados,F,Encerrado,1467,0,1464
ALTO RIO NOVO,Descartados,I,Encerrado,1,0,1
ALTO RIO NOVO,Descartados,M,Em Aberto,11,11,11
ALTO RIO NOVO,Descartados,M,Encerrado,1034,0,1033
ALTO RIO NOVO,Suspeito,F,Em Aberto,5,5,5
ALTO RIO NOVO,Suspeito,F,Encerrado,11,0,11
ALTO RIO NOVO,Suspeito,M,Em Aberto,5,5,5
ALTO RIO NOVO,Suspeito,M,Encerrado,4,0,4
ALTO RIO NOVO,Síndrome Gripal não Especificada,F,Encerrado,7,0,7
ALTO RIO NOVO,Síndrome Gripal não Especificada,M,Encerrado,5,0,5
ANCHIETA,Confirmados,F,Em Aberto,4,4,4
ANCHIETA,Confirmados,F,Encerrado,7088,0,7019
ANCHIETA,Confirmados,I,Encerrado,1,0,1
ANCHIETA,Confirmados,M,Em Aberto,8,8,7
ANCHIETA,Confirmados,M,Encerrado,5731,0,5664
ANCHIETA,Descartados,F,Em Aberto,9,9,9
ANCHIETA,Descartados,F,Encerrado,16610,0,16586
ANCHIETA,Descartados,M,Em Aberto,6,6,6
ANCHIETA,Descartados,M,Encerrado,18519,0,18486
ANCHIETA,Suspeito,F,Em Aberto,48,48,48
ANCHIETA,Suspeito,F,Encerrado,1044,0,1044
ANCHIETA,Suspeito,M,Em Aberto,25,25,25
ANCHIETA,Suspeito,M,Encerrado,1009,0,1009
ANCHIETA,Síndrome Gripal não Especificada,F,Em Aberto,2,2,2
ANCHIETA,Síndrome Gripal não Especificada,F,Encerrado,456,0,456
ANCHIETA,Síndrome Gripal não Especificada,M,Em Aberto,3,3,3
ANCHIETA,Síndrome Gripal não Especificada,M,Encerrado,419,0,419
APIACA,Confirmados,F,Em Aberto,25,25,25
APIACA,Confirmados,F,Encerrado,1607,0,1591
APIACA,Confirmados,M,Em Aberto,18,18,18
APIACA,Confirmados,M,Encerrado,1171,0,1143
APIACA,Descartados,F,Em Aberto,223,223,223
APIACA,Descartados,F,Encerrado,2942,0,2938
APIACA,Descartados,I,Encerrado,1,0,1
APIACA,Descartados,M,Em Aberto,146,146,146
APIACA,Descartados,M,Encerrado,2313,0,2305
APIACA,Suspeito,F,Em Aberto,39,39,39
APIACA,Suspeito,F,Encerrado,24,0,24
APIACA,Suspeito,M,Em Aberto,27,27,27
APIACA,Suspeito,M,Encerrado,13,0,13
APIACA,Síndrome Gripal não Especificada,F,Em Aberto,4,4,4
APIACA,Síndrome Gripal não Especificada,F,Encerrado,8,0,8
APIACA,Síndrome Gripal não Especificada,M,Em Aberto,1,1,1
APIACA,Síndrome Gripal não Especificada,M,Encerrado,4,0,4
ARACRUZ,Confirmados,F,Em Aberto,1437,1437,1437
ARACRUZ,Confirmados,F,Encerrado,21916,0,21772
ARACRUZ,Confirmados,I,Encerrado,7,0,7
ARACRUZ,Confirmados,M,Em Aberto,1274,1274,1274
ARACRUZ,Confirmados,M,Encerrado,18128,0,17970
ARACRUZ,Descartados,F,Em Aberto,88,88,87
ARACRUZ,Descartados,F,Encerrado,54193,0,54154
ARACRUZ,Descartados,I,Encerrado,42,0,42
ARACRUZ,Descartados,M,Em Aberto,98,98,98
ARACRUZ,Descartados,M,Encerrado,50107,0,50050
ARACRUZ,Suspeito,F,Em Aberto,1652,1652,1652
ARACRUZ,Suspeito,F,Encerrado,344,0,344
ARACRUZ,Suspeito,I,Em Aberto,1,1,1
ARACRUZ,Suspeito,M,Em Aberto,1611,1611,1610
